VIN,TRANSACTION_ID,CORRECTION_VERBATIM,CUSTOMER_VERBATIM,REPAIR_DATE,CAUSAL_PART_NM,GLOBAL_LABOR_CODE_DESCRIPTION,PLATFORM,BODY_STYLE,VPPC,PLANT,BUILD_COUNTRY,LAST_KNOWN_DLR_NAME,LAST_KNOWN_DLR_CITY,REPAIRING_DEALER_CODE,DEALER_NAME,REPAIR_DLR_CITY,STATE,DEALER_REGION,REPAIR_DLR_POSTAL_CD,REPAIR_AGE,KM,COMPLAINT_CD_CSI,COMPLAINT_CD,VEH_TEST_GRP,COUNTRY_SALE_ISO,ORD_SELLING_SRC_CD,OPTN_FAMLY_CERTIFICATION,OPTF_FAMLY_EMISSIOF_SYSTEM,GLOBAL_LABOR_CODE,TRANSACTION_CATEGORY,REPORTING_COST,TOTALCOST,LBRCOST,ENGINE,ENGINE_DESC,TRANSMISSION,TRANSMISSION_DESC,ENGINE_SOURCE_PLANT,ENGINE_TRACE_NBR,TRANSMISSION_SOURCE_PLANT,TRANSMISSION_TRACE_NBR,SRC_TXN_ID,SRC_VER_NBR,TRANSACTION_CNTR,MEDIA_FLAG,VIN_MODL_DESGTR,LINE_SERIES,LAST_KNOWN_DELVRY_TYPE_CD,NON_CAUSAL_PART_QTY,SALES_REGION_CODE,Generated_Tags
3hcfdde89sh220903,13021,replaced steering wheel now okay,steering wheel coming apart,2024-01-02,wheel asm-strg *jet black,steering wheel replacement,full-size trucks,crew cab,t1ccf,sil,mx,silverstone motors,st johns,13-13992/309484,apex auto sales,st johns,mi,1,,6,8872,0,0-0310,t03.0354,us,13,fe9,ftb,130,freg,370.03,370.03,61.46,lz0,"diesel, 6 cyl, 3.0l, cri, l6, dohc, turbo, vgt, alum, css50v, var. 2",mqc,"byt 10 spd, 10l80, atss, etrs, cpa, gen 2",,v2210281mftx0488,287827.0,s2210121cnjx0941,2808908219,6,1,n,cf10543,,21.0,0,1,apart coming states steering wheel
3hcfdfel3sh241701,13021,steering wheel replacement,customer states the lettering and finish on the steering wheel is coming off. plant: sil,2024-01-04,wheel asm-strg *jet black,steering wheel replacement,full-size trucks,crew cab,t1ccf,unknown,mx,westwood wheels,milwaukee,13-47099/113361,summit drive auto,slinger,wi,1,,10,15500,0,0-0890,t06.2375,us,13,fe9,ftb,130,freg,445.28,445.28,63.18,l87,"gas, 8 cyl, v8, 6.2l, di, dfm, alum, gen 5",mhs,"byt 10 spd, 10l80, grx, gen 1, atss, etrs, var 1",,n2210821mfyx0482,287827.0,s1210822ckjx0291,2808892288,6,1,y,cf10543,,10.0,0,1,apart coming states steering wheel
3hcfdfed4sh352945,13021,replaced steering wheel,special order part [ steering wheel heated steering wheel not working ],2024-01-05,wheel asm-strg *jet black,steering wheel replacement,full-size trucks,crew cab,t1ccf,sil,mx,diamond drive,saint clairsville,13-13858/113450,diamond auto traders,saint clairsville,oh,1,,3,4065,0,0-0310,t05.3386,us,13,ne1,fuc,130,freg,427.08,427.08,57.61,l84,"gas, 8 cyl, 5.3l, v8, di, dfm, alum, gen 5",mhs,"byt 10 spd, 10l80, grx, gen 1, atss, etrs, var 1",,a2212881mf1x2422,287827.0,s1212982ckjx2188,2808882287,4,1,n,cf10543,,15.0,0,1,heated advise inspect wheel working
1hcfdhe86sz274242,13023,"gained access and removed old steering wheel after disconnecting battery negative. installed new steering wheel, applied loctite tobolt that retains steering wheel. tighted bolt. re installed air bag, re installed trim. re connected battery, checked for anyprotruding from steering wheel molding, all ok now gm authorization# 490759800000",c/s: removed steering wheel to gain access to back side of steering wheel where trim is that is protruding and replaced trim andstill is pretruding. issue is in steering wheel assembly reference ro# 82289 -- gm authorization# 490759800000,2024-01-09,wheel asm-strg *jet black,steering wheel replacement,full-size trucks,crew cab,t1ccf,ftw,us,bluesky autos,palmyra,13-15377/118088,platinum wheels,palmyra,pa,1,,8,6204,0,0-0890,t03.0354,us,13,ne1,fub,130,freg,476.16,457.225,63.99,lz0,"diesel, 6 cyl, 3.0l, cri, l6, dohc, turbo, vgt, alum, css50v, var. 2",mqc,"byt 10 spd, 10l80, atss, etrs, cpa, gen 2",,v2212221mftx0298,17749294.0,r2212281cnjx0022,2809222210,6,1,n,cf10543,,10.0,0,1,trim sop install moulding diagnosis
1h1fz6s00n4109597,13025,"replace steering wheel check ok 1699-,0130","heated steering wheel inop. when you hit the button on it turns off immediately. when remote starting it, it will turn light on butnever heat up. - ro 6124563 - ro 6126117 - dave - pra #495554400000",2024-01-11,wheel asm-strg *jet black,steering wheel replacement,global gamma,4 door sedan,c121,ori,us,capital car dealers,davison,13-44014/115093,truedrive auto,clarkston,mi,1,,17,42079,0,0-0890,v00.0002,us,13,fe9,ft7,130,freg,411.47,457.47,62.02,en0,none,mmf,"byt, electric, gm, gem, gen 2, drive unit, x68f",unknown,unknown,8042172.0,unknown,2809122794,4,1,n,1fg48,premier,21.0,0,1,does heat states light wont
3hrffcer3nh528824,13025,"pra approved, pra #495794600000 found the steering wheel to be coming apart. replaced the steering wheel. verified repair.",customer states stitching on steering wheel is coming undone on the ri ght side,2024-01-11,wheel asm-strg *black,steering wheel replacement,full-size trucks,crew cab,t1cgf,sil,mx,infinite motors,henderson,11-11457/116555,metromax motors,dallas,tx,1,,22,34260,0,0-0890,t03.0353,us,48,fe9,ftb,130,freg,621.34,621.34,107.28,lm2,"diesel, 6 cyl, 3.0l, cri, l6, dohc, turbo, vgt, al um, css50v",mqc,"byt 10 spd, 10l80, atss, etrs, cpa, gen 2",,v2220472cvcx0021,287827.0,s1220791cnjx0210,2809294191,4,1,n,tf10543,,10.0,0,1,apart coming states steering wheel
1hcfdeed3sz308171,13037,replaced steering wheel,wrap on the steeering wheel is peeling ***need pra done by management****,2024-01-12,wheel asm-strg *jet black,steering wheel replacement,full-size trucks,crew cab,t1ccf,ftw,us,dreamcars auto,grand forks,13-04703/111708,horizonview auto,grand forks,nd,1,,4,8678,0,0-0312,t05.3386,us,13,fe9,ftb,130,freg,456.98,456.98,69.06,l84,"gas, 8 cyl, 5.3l, v8, di, dfm, alum, gen 5",mhs,"byt 10 spd, 10l80, grx, gen 1, atss, etrs, var 1",,t2212491mf1x0970,17749294.0,r2210822ckjx0278,2820422129,4,1,y,cf10543,,10.0,0,1,trim sop install moulding diagnosis
1hcfyeed6nz182017,13040,0130 labor 0.4 -removed and replaced steering wheel with correct unit. verified operation.,trim or moulding diagnosis trim or moulding diagnosis - c/s: customer request ed to install correct steering wheel per sop - prevro 6012971,2024-01-15,wheel asm-strg *jet black,steering wheel replacement,full-size trucks,crew cab,t1ccf,ftw,us,summit car trading,castle rock,13-36101/314339,crowncar dealership,castle rock,co,1,,23,24983,0,0-0312,t05.3386,us,13,fe9,ftb,130,freg,299.77,299.77,91.4,l84,"gas, 8 cyl, 5.3l, v8, di, dfm, alum, gen 5",mqe,"byt 8 spd, 8l90, atss, cpa, gen 1",,k2220222jw9x1892,8042172.0,b2220222xnlx9720,2809401941,6,1,n,cf18543,,10.0,0,1,trim sop install moulding diagnosis
1hcfdeed5sz117691,13025,"per last repair order, replaced steering wheel. pra#493156300000",install sop. customer states stitching on steering wheel is coming apart,2024-01-15,wheel asm-strg *jet black,steering wheel replacement,full-size trucks,crew cab,t1ccf,ftw,us,oakwood motors,bolingbrook,13-11298/227245,northstar wheels,bolingbrook,il,1,,12,24925,0,0-0890,t05.3386,us,13,unknown,ftb,130,freg,432.68,432.68,113.09,l84,"gas, 8 cyl, 5.3l, v8, di, dfm, alum, gen 5",mhs,"byt 10 spd, 10l80, grx, gen 1, atss, etrs, var 1",,t1222871mf1x0294,17749294.0,r2222892ckjx0778,2809189012,4,1,n,cf10543,,10.0,0,1,apart coming states steering wheel
1hr49se7xrf103023,13026,"inspected steering wheel, found leather peeling at bottom ofsteering wheel due to failed adhesive, replaced steering wheel",cust states steering wheel materuial delamination at bottom,2024-01-15,wheel asm-strg *jet black,steering wheel replacement,full-size trucks,crew cab,t1cgh,flt,us,urbandrive sales,west chester,13-18721/318683,redwood car traders,bridgeton,nj,1,,10,29910,0,0-0890,d06.6230,us,48,ne1,fum,130,freg,487.54,487.54,71.41,l8t,"gas, 8 cyl, 6.6l, sidi, vvt, cast iron",mkm,"byt 10 spd, rwd 4.54 1st, 2.86 2nd, 2.06 3rd, 1.7 1 4th, 1.48 5th, 1.26 6th, 1.00 7th, 10l",,t2210924mgux2424,8042172.0,y0210881msfx0080,2809417819,4,1,y,tf20743,,10.0,0,1,apart coming states steering wheel
